nb_patients,time_saem,time_train,time
10,2.773334079000051,15.781761423665253,18.555095502665303
10,2.33304227500048,15.781761423665253,18.11480369866573
10,2.2208618110016687,15.781761423665253,18.00262323466692
50,4.135789342999487,15.781761423665253,19.91755076666474
50,3.52275120700142,15.781761423665253,19.30451263066667
50,3.2516602790019533,15.781761423665253,19.033421702667205
100,3.680484737997176,15.781761423665253,19.462246161662428
100,3.3269212169980165,15.781761423665253,19.108682640663268
100,3.5549209659984626,15.781761423665253,19.336682389663714
200,5.131367968999257,15.781761423665253,20.91312939266451
200,4.6893822780002665,15.781761423665253,20.471143701665518
200,4.648870533997979,15.781761423665253,20.43063195766323
300,5.811187502000394,15.781761423665253,21.592948925665645
300,5.541668235000543,15.781761423665253,21.323429658665795
300,5.410047026001848,15.781761423665253,21.1918084496671
400,6.347479446998477,15.781761423665253,22.12924087066373
400,11.27461190699978,15.781761423665253,27.056373330665032
400,13.80648739499884,15.781761423665253,29.58824881866409
500,12.907978512001137,15.781761423665253,28.68973993566639
500,14.832561882001755,15.781761423665253,30.614323305667007
500,10.922383709999849,15.781761423665253,26.7041451336651
1000,24.873383546997502,15.781761423665253,40.655144970662754
1000,17.629715900999145,15.781761423665253,33.411477324664396
1000,17.202959179998288,15.781761423665253,32.98472060366354
