bin,quantile,q_obs,pred_median,pred_lower,pred_upper,bin_center,output_name,model
0,0.05,3.6459686820012203,3.8452495217651177,3.807192208903734,3.886343616127432,2700.0,logC15,Simwork
0,0.5,5.438079308923196,5.376372382026274,5.36348918666569,5.389458060590893,2700.0,logC15,Simwork
0,0.95,6.572560113643599,6.621946196147012,6.606507177213676,6.632734349463694,2700.0,logC15,Simwork
1,0.05,2.609329038452749,2.689788775811266,2.6022188796147163,2.7721734807244878,26429.399999999998,logC15,Simwork
1,0.5,3.453152113357411,3.4302698470543884,3.404601813195805,3.4630541972159268,26429.399999999998,logC15,Simwork
1,0.95,4.31811749364085,4.249546189325223,4.195992060400135,4.30396925212702,26429.399999999998,logC15,Simwork
2,0.05,2.1605353660126787,2.025909268905444,1.9456816412479094,2.1577672226430273,44100.0,logC15,Simwork
2,0.5,2.901406499059578,2.8048842272994485,2.752497787558241,2.834725997224405,44100.0,logC15,Simwork
2,0.95,3.865348936855167,3.6455175340401587,3.5823707598737116,3.6979481965704455,44100.0,logC15,Simwork
5,0.05,1.0623568955492988,1.070976893462362,0.980391902854235,1.1427895390406095,87120.0,logC15,Simwork
5,0.5,1.9671123567059163,2.00066560066291,1.9702757398895363,2.046492721370752,87120.0,logC15,Simwork
5,0.95,3.1436546799655876,2.938893389239327,2.8791652191706976,3.044048727166943,87120.0,logC15,Simwork
7,0.05,0.9527230478994568,1.064469469737401,0.1744647827021777,1.2324406263594418,130201.2,logC15,Simwork
7,0.5,1.6467336971777973,1.6678267873538795,1.5187988500257124,1.7796578566627472,130201.2,logC15,Simwork
7,0.95,2.298486418573272,2.254400604434279,2.15858418837946,2.388436281583248,130201.2,logC15,Simwork
9,0.05,0.738095915223126,0.5608656157437426,-0.5415756587484402,0.7669023673443857,173401.2,logC15,Simwork
9,0.5,1.3737155789130306,1.3397037981885775,1.0379235348451925,1.4613601786665469,173401.2,logC15,Simwork
9,0.95,1.5793173416712945,2.0481569592353095,1.6096221969341076,2.19735230168632,173401.2,logC15,Simwork
