"id","time_idx","time_h","concentration","solver"
"KbBR_x1",5,4.1593220338983,67.68264161318,"nlmixr2/rxode2"
"KbBR_x1",6,4.97118644067797,52.91238521411,"nlmixr2/rxode2"
"KbBR_x1",7,5.78305084745763,43.3456522569916,"nlmixr2/rxode2"
"KbBR_x1",8,6.59491525423729,36.8672257957813,"nlmixr2/rxode2"
"KbBR_x1",9,7.40677966101695,32.2468060655928,"nlmixr2/rxode2"
"KbBR_x1",10,8.21864406779661,28.766701971763,"nlmixr2/rxode2"
"KbBR_x1",11,9.03050847457627,26.0064136331599,"nlmixr2/rxode2"
"KbBR_x1",12,9.84237288135593,23.7180399943592,"nlmixr2/rxode2"
"KbBR_x1",13,10.6542372881356,21.7539065642367,"nlmixr2/rxode2"
"KbBR_x1",14,11.4661016949153,20.0247161100417,"nlmixr2/rxode2"
"KbBR_x1",15,12.2779661016949,18.4752546509692,"nlmixr2/rxode2"
"KbBR_x1",16,13.0898305084746,17.0703381252158,"nlmixr2/rxode2"
"KbBR_x1",17,13.9016949152542,15.7865944142192,"nlmixr2/rxode2"
"KbBR_x1",18,14.7135593220339,14.6077111791468,"nlmixr2/rxode2"
"KbBR_x1",19,15.5254237288136,13.5216912156427,"nlmixr2/rxode2"
"KbBR_x1",20,16.3372881355932,12.5192126767251,"nlmixr2/rxode2"
"KbBR_x1",21,17.1491525423729,11.5926759472035,"nlmixr2/rxode2"
"KbBR_x1",22,17.9610169491525,10.7356534351776,"nlmixr2/rxode2"
"KbBR_x1",23,18.7728813559322,9.94252917979811,"nlmixr2/rxode2"
"KbBR_x1",24,19.5847457627119,9.20831439755952,"nlmixr2/rxode2"
"KbBR_x1",25,20.3966101694915,8.52850451040881,"nlmixr2/rxode2"
"KbBR_x1",26,21.2084745762712,7.89898778954421,"nlmixr2/rxode2"
"KbBR_x1",27,22.0203389830508,7.31599670825914,"nlmixr2/rxode2"
"KbBR_x1",28,22.8322033898305,6.77606840597937,"nlmixr2/rxode2"
"KbBR_x1",29,23.6440677966102,6.27600862311348,"nlmixr2/rxode2"
"KbBR_x1",30,24.4559322033898,5.81286482900851,"nlmixr2/rxode2"
